city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Froland,58.5306,8.6546,Norway,NO,Aust-Agder,minor,,
Hov,60.7000,10.3500,Norway,NO,Oppland,minor,,
Hopen,63.4667,8.0167,Norway,NO,Møre og Romsdal,minor,,
Mosjøen,65.8333,13.2000,Norway,NO,Nordland,minor,,
Solfjellsjøen,66.1167,12.4833,Norway,NO,Nordland,minor,,
Birkeland,58.3333,8.2333,Norway,NO,Aust-Agder,minor,,
Ramberg,68.0833,13.2333,Norway,NO,Nordland,minor,,
Dokka,60.8333,10.0833,Norway,NO,Oppland,minor,,
Flisa,60.6078,12.0521,Norway,NO,Hedmark,minor,,
Fillan,63.6063,8.9696,Norway,NO,Sør-Trøndelag,minor,,
Evje,58.5850,7.8083,Norway,NO,Aust-Agder,minor,,
Batnfjordsøra,62.8833,7.7000,Norway,NO,Møre og Romsdal,minor,,
Kyrksæterøra,63.2906,9.0899,Norway,NO,Sør-Trøndelag,minor,,
Dale,60.5833,5.8167,Norway,NO,Hordaland,minor,,
Noresund,60.1667,9.6167,Norway,NO,Buskerud,minor,,
Sandane,61.7667,6.2167,Norway,NO,Sogn og Fjordane,minor,,
Kirkenær,60.4667,12.0500,Norway,NO,Hedmark,minor,,
Evenskjer,68.5833,16.5667,Norway,NO,Troms,minor,,
Konsmo,58.2853,7.3558,Norway,NO,Vest-Agder,minor,,
Årdalstangen,61.2333,7.7167,Norway,NO,Sogn og Fjordane,minor,,
Skei,61.5716,6.4790,Norway,NO,Sogn og Fjordane,minor,,
Bogen,68.5262,16.9923,Norway,NO,Nordland,minor,,
Hamnvik,68.7833,17.1833,Norway,NO,Troms,minor,,
Vinstra,61.6000,9.7500,Norway,NO,Oppland,minor,,
Østre Gausdal,61.2500,10.1500,Norway,NO,Oppland,minor,,
Liabøen,63.1167,8.3000,Norway,NO,Møre og Romsdal,minor,,
Ranemsletta,64.4936,11.9483,Norway,NO,Nord-Trøndelag,minor,,
Slidre,61.0883,8.9808,Norway,NO,Oppland,minor,,
Sande,61.3333,5.8000,Norway,NO,Sogn og Fjordane,minor,,
Lensvik,63.5110,9.8089,Norway,NO,Sør-Trøndelag,minor,,
Lampeland,59.8342,9.5759,Norway,NO,Buskerud,minor,,
Fossby,59.2167,11.7000,Norway,NO,Østfold,minor,,
Svelgen,61.7667,5.3000,Norway,NO,Sogn og Fjordane,minor,,
Sjøvegan,68.8733,17.8644,Norway,NO,Troms,minor,,
Vikeså,58.6333,6.1000,Norway,NO,Rogaland,minor,,
Borkenes,68.7833,16.1833,Norway,NO,Troms,minor,,
Leland,66.0667,12.9500,Norway,NO,Nordland,minor,,
Malm,64.0719,11.2187,Norway,NO,Nord-Trøndelag,minor,,
Prestfoss,60.0333,9.6333,Norway,NO,Buskerud,minor,,
Brøstadbotn,69.0886,17.6947,Norway,NO,Troms,minor,,
Hardbakke,61.0833,4.8500,Norway,NO,Sogn og Fjordane,minor,,
Hol,68.5333,16.4000,Norway,NO,Nordland,minor,,
Lyngseidet,69.5833,20.2167,Norway,NO,Troms,minor,,
Eivinvik,60.9833,5.0667,Norway,NO,Sogn og Fjordane,minor,,
Storsteinnes,69.2407,19.2344,Norway,NO,Troms,minor,,
Tingvatn,58.4000,7.2333,Norway,NO,Vest-Agder,minor,,
Gryllefjord,69.3667,17.0167,Norway,NO,Troms,minor,,
Årnes,63.9611,10.2274,Norway,NO,Sør-Trøndelag,minor,,
Heggenes,61.1500,9.0833,Norway,NO,Oppland,minor,,
Vikøyri,61.0833,6.5833,Norway,NO,Sogn og Fjordane,minor,,
Rena,61.1333,11.3667,Norway,NO,Hedmark,minor,,
Årstein,68.6890,17.5449,Norway,NO,Troms,minor,,
Tennevoll,68.7466,17.8038,Norway,NO,Troms,minor,,
Støren,63.0372,10.2856,Norway,NO,Sør-Trøndelag,minor,,
Korgen,66.0833,13.8333,Norway,NO,Nordland,minor,,
Skaland,69.4500,17.3000,Norway,NO,Troms,minor,,
Eidsvåg,62.7819,8.0711,Norway,NO,Møre og Romsdal,minor,,
Inndyr,67.0333,14.0333,Norway,NO,Nordland,minor,,
Vangsvik,69.1667,17.7333,Norway,NO,Troms,minor,,
Berkåk,62.8286,10.0101,Norway,NO,Sør-Trøndelag,minor,,
Steinsdalen,64.2429,10.6926,Norway,NO,Sør-Trøndelag,minor,,
Dalen,59.4500,8.0000,Norway,NO,Telemark,minor,,
Kinsarvik,60.3744,6.7200,Norway,NO,Hordaland,minor,,
Leinesfjord,67.7765,15.0147,Norway,NO,Nordland,minor,,
Sand,59.4867,6.2511,Norway,NO,Rogaland,minor,,
Lauvsnes,64.5007,10.8959,Norway,NO,Nord-Trøndelag,minor,,
Hansnes,69.9667,19.6000,Norway,NO,Troms,minor,,
Gaupne,61.4048,7.2942,Norway,NO,Sogn og Fjordane,minor,,
Rognan,67.1000,15.3833,Norway,NO,Nordland,minor,,
Olderdalen,69.6030,20.5371,Norway,NO,Troms,minor,,
Sauland,59.6203,8.9278,Norway,NO,Telemark,minor,,
Krokstadøra,63.3998,9.4987,Norway,NO,Sør-Trøndelag,minor,,
Moen,69.1333,18.6167,Norway,NO,Troms,minor,,
Vågaholmen,66.7091,13.2693,Norway,NO,Nordland,minor,,
Valldal,62.3333,7.3500,Norway,NO,Møre og Romsdal,minor,,
Oppeid,68.0856,15.6117,Norway,NO,Nordland,minor,,
Treungen,59.0333,8.5500,Norway,NO,Telemark,minor,,
Ålen,62.8433,11.2994,Norway,NO,Sør-Trøndelag,minor,,
Breivikbotn,70.5879,22.2848,Norway,NO,Finnmark,minor,,
Øksfjord,70.2392,22.3714,Norway,NO,Finnmark,minor,,
Storslett,69.7675,21.0326,Norway,NO,Troms,minor,,
Kjøpsvik,68.0966,16.3752,Norway,NO,Nordland,minor,,
Tonstad,58.6642,6.7164,Norway,NO,Vest-Agder,minor,,
Straumen,67.3481,15.5972,Norway,NO,Nordland,minor,,
Terråk,65.0833,12.4167,Norway,NO,Nordland,minor,,
Koppang,61.5667,11.0667,Norway,NO,Hedmark,minor,,
Oteren,69.2554,19.8816,Norway,NO,Troms,minor,,
Skjåk,61.8811,8.3693,Norway,NO,Oppland,minor,,
Dun,64.6586,11.2661,Norway,NO,Nord-Trøndelag,minor,,
Aurlandsvangen,60.9063,7.1864,Norway,NO,Sogn og Fjordane,minor,,
Havøysund,70.9988,24.6603,Norway,NO,Finnmark,minor,,
Rødberg,60.2711,8.9537,Norway,NO,Buskerud,minor,,
Moldjord,67.0067,14.5764,Norway,NO,Nordland,minor,,
Mo,60.8161,5.8053,Norway,NO,Hordaland,minor,,
Lakselv,70.0436,24.9758,Norway,NO,Finnmark,minor,,
Tana Bru,70.1977,28.1849,Norway,NO,Finnmark,minor,,
Trofors,65.5333,13.4063,Norway,NO,Nordland,minor,,
Bergset,61.8897,11.0773,Norway,NO,Hedmark,minor,,
Varangerbotn,70.1762,28.5541,Norway,NO,Finnmark,minor,,
Mehamn,71.0373,27.8507,Norway,NO,Finnmark,minor,,
Kjøllefjord,70.9457,27.3463,Norway,NO,Finnmark,minor,,
Nordli,64.4675,13.5908,Norway,NO,Nord-Trøndelag,minor,,
Andenes,69.3203,16.1428,Norway,NO,Nordland,minor,,
